Pair,Pair_Type,Action,Bought,Sold,Timestamp,Step,Price_A,Price_B,Shares_A,Shares_B,Cost,PnL,Capital
LUPIN-MPHASIS,positive,OPEN_LONG,LUPIN,MPHASIS,2024-02-05,0,1556.601806640625,2399.809326171875,3.2121252710034645,2.08349886195996,10.0,,9990.0
LUPIN-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,2135.199951171875,2769.89990234375,,,12.629613016080752,1074.816814512255,11064.816814512254
DRREDDY-MPHASIS,positive,OPEN_LONG,DRREDDY,MPHASIS,2024-02-05,0,1204.078125,2399.809326171875,4.152554469835585,2.08349886195996,10.0,,9990.0
DRREDDY-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1178.699951171875,2769.89990234375,,,10.665699045109964,-887.1332424875623,9102.866757512438
CIPLA-MPHASIS,positive,OPEN_LONG,CIPLA,MPHASIS,2024-02-05,0,1406.816162109375,2399.809326171875,3.554124650162547,2.08349886195996,10.0,,9990.0
CIPLA-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1328.900024414062,2769.89990234375,,,10.494159628647836,-1058.5011195332263,8931.498880466774
WIPRO-DIVISLAB,positive,OPEN_LONG,WIPRO,DIVISLAB,2024-02-05,0,226.0776062011719,3660.265625,22.11629928331257,1.3660210794127816,10.0,,9990.0
WIPRO-DIVISLAB,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,241.8000030517578,6056.0,,,13.620344891122375,-2938.522767616359,7051.4772323836405
AUROPHARMA-MPHASIS,positive,OPEN_LONG,AUROPHARMA,MPHASIS,2024-02-05,0,1012.980163574219,2399.809326171875,4.935930810686265,2.08349886195996,10.0,,9990.0
AUROPHARMA-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1172.099975585938,2769.89990234375,,,11.556487676975458,2.764600746067167,9992.764600746068
ALKEM-MPHASIS,positive,OPEN_LONG,ALKEM,MPHASIS,2024-02-05,0,4841.01904296875,2399.809326171875,1.032840390756603,2.08349886195996,10.0,,9990.0
ALKEM-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,5565.0,2769.89990234375,,,11.518840068836704,-34.8453597845484,9955.15464021545
LTIM-DIVISLAB,positive,OPEN_LONG,LTIM,DIVISLAB,2024-02-05,0,5303.32763671875,3660.265625,0.9428042811048304,1.3660210794127816,10.0,,9990.0
LTIM-DIVISLAB,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,6070.5,6056.0,,,13.99591704537068,-2563.326185522304,7426.6738144776955
ZYDUSLIFE-MPHASIS,positive,OPEN_LONG,ZYDUSLIFE,MPHASIS,2024-02-05,0,750.4107666015625,2399.809326171875,6.663017406644961,2.08349886195996,10.0,,9990.0
ZYDUSLIFE-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,878.0999755859375,2769.89990234375,,,11.621878716379824,68.09024911102958,10058.09024911103
SUNPHARMA-MPHASIS,positive,OPEN_LONG,SUNPHARMA,MPHASIS,2024-02-05,0,1437.478393554688,2399.809326171875,3.478313150596777,2.08349886195996,10.0,,9990.0
SUNPHARMA-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1610.099975585938,2769.89990234375,,,11.371515213132325,-182.0228906332226,9807.977109366777
DIVISLAB-MPHASIS,positive,OPEN_LONG,DIVISLAB,MPHASIS,2024-02-05,0,3660.265625,2399.809326171875,1.3660210794127816,2.08349886195996,10.0,,9990.0
DIVISLAB-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,6056.0,2769.89990234375,,,14.043706951200013,2487.496655696398,12477.4966556964
SBIN-CIPLA,positive,OPEN_LONG,SBIN,CIPLA,2024-02-05,0,619.8984985351562,1406.816162109375,8.065836603597509,3.554124650162547,10.0,,9990.0
SBIN-CIPLA,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1018.200012207031,1328.900024414062,,,12.935711262614532,3476.6228826086576,13466.622882608657
TECHM-DIVISLAB,positive,OPEN_LONG,TECHM,DIVISLAB,2024-02-05,0,1260.391967773438,3660.265625,3.9670198857525376,1.3660210794127816,10.0,,9990.0
TECHM-DIVISLAB,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1717.300048828125,6056.0,,,15.085187100428783,-1475.1454005192588,8514.854599480741
HCLTECH-DIVISLAB,positive,OPEN_LONG,HCLTECH,DIVISLAB,2024-02-05,0,1447.240234375,3660.265625,3.454851434640554,1.3660210794127816,10.0,,9990.0
HCLTECH-DIVISLAB,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1666.199951171875,6056.0,,,14.029096948627979,-2530.179462168261,7459.820537831739
INFY-DIVISLAB,positive,OPEN_LONG,INFY,DIVISLAB,2024-02-05,0,1588.473266601562,3660.265625,3.1476765175262806,1.3660210794127816,10.0,,9990.0
INFY-DIVISLAB,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1654.5,6056.0,,,13.480454455171039,-3078.2733131317455,6911.726686868255
HCLTECH-MPHASIS,positive,OPEN_LONG,HCLTECH,MPHASIS,2024-02-05,0,1447.240234375,2399.809326171875,3.454851434640554,2.08349886195996,10.0,,9990.0
HCLTECH-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1666.199951171875,2769.89990234375,,,11.52755658598038,-26.13755915801481,9963.862440841986
PERSISTENT-AXISBANK,positive,OPEN_LONG,PERSISTENT,AXISBANK,2024-02-05,0,4226.78369140625,1059.775756835938,1.1829325475457442,4.717979221309967,10.0,,9990.0
PERSISTENT-AXISBANK,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,6068.0,1340.400024414062,,,13.502014161936494,840.5532209167214,10830.553220916721
MPHASIS-DIVISLAB,positive,OPEN_LONG,MPHASIS,DIVISLAB,2024-02-05,0,2399.809326171875,3660.265625,2.08349886195996,1.3660210794127816,10.0,,9990.0
MPHASIS-DIVISLAB,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,2769.89990234375,6056.0,,,14.043706951200013,-2515.584069598798,7474.415930401202
BIOCON-MPHASIS,positive,OPEN_LONG,BIOCON,MPHASIS,2024-02-05,0,283.8765258789062,2399.809326171875,17.61329149889928,2.08349886195996,10.0,,9990.0
BIOCON-MPHASIS,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,368.2000122070312,2769.89990234375,,,12.25629743917692,701.8745531853294,10691.87455318533
MPHASIS-AXISBANK,positive,OPEN_LONG,MPHASIS,AXISBANK,2024-02-05,0,2399.809326171875,1059.775756835938,2.08349886195996,4.717979221309967,10.0,,9990.0
MPHASIS-AXISBANK,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,2769.89990234375,1340.400024414062,,,12.095062757705124,-564.9912319104155,9425.008768089585
INFY-AXISBANK,positive,OPEN_LONG,INFY,AXISBANK,2024-02-05,0,1588.473266601562,1059.775756835938,3.1476765175262806,4.717979221309967,10.0,,9990.0
INFY-AXISBANK,positive,CLOSE,CLOSE,CLOSE,2026-02-01,493,1654.5,1340.400024414062,,,11.53181026167615,-1127.6804754433626,8862.319524556637
COFORGE-ICICIPRULI,negative,OPEN_LONG,COFORGE,ICICIPRULI,2024-02-05,0,1246.383544921875,503.610107421875,4.01160623499198,9.928315429562044,10.0,,9990.0
COFORGE-ICICIPRULI,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1655.400024414062,643.4500122070312,,,13.029187743692281,3016.158555948589,13006.158555948588
BAJFINANCE-TCS,negative,OPEN_LONG,BAJFINANCE,TCS,2024-02-05,0,653.4868774414062,3726.203369140625,7.651263051488461,1.3418483922290991,10.0,,9990.0
BAJFINANCE-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,902.3499755859376,3186.89990234375,,,11.180453537867233,1169.2730843293662,11159.273084329367
PERSISTENT-LTIM,negative,OPEN_LONG,PERSISTENT,LTIM,2024-02-05,0,4226.78369140625,5303.32763671875,1.1829325475457442,0.9428042811048304,10.0,,9990.0
PERSISTENT-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,6068.0,6070.5,,,12.901328086954448,2888.426758867494,12878.426758867494
ZYDUSLIFE-LTIM,negative,OPEN_LONG,ZYDUSLIFE,LTIM,2024-02-05,0,750.4107666015625,5303.32763671875,6.663017406644961,0.9428042811048304,10.0,,9990.0
ZYDUSLIFE-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,878.0999755859375,6070.5,,,11.574088810550489,1562.5147217399392,11552.514721739939
SBIN-LTIM,negative,OPEN_LONG,SBIN,LTIM,2024-02-05,0,619.8984985351562,5303.32763671875,8.065836603597509,0.9428042811048304,10.0,,9990.0
SBIN-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1018.200012207031,6070.5,,,13.935928316689775,3921.992388373084,13911.992388373084
WIPRO-TCS,negative,OPEN_LONG,WIPRO,TCS,2024-02-05,0,226.0776062011719,3726.203369140625,22.11629928331257,1.3418483922290991,10.0,,9990.0
WIPRO-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,241.8000030517578,3186.89990234375,,,9.624057744353602,-385.5663133907507,9604.433686609249
SUNPHARMA-TCS,negative,OPEN_LONG,SUNPHARMA,TCS,2024-02-05,0,1437.478393554688,3726.203369140625,3.478313150596777,1.3418483922290991,10.0,,9990.0
SUNPHARMA-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1610.099975585938,3186.89990234375,,,9.876768429011152,-133.1083394178601,9856.89166058214
ICICIBANK-LTIM,negative,OPEN_LONG,ICICIBANK,LTIM,2024-02-05,0,1006.994079589844,5303.32763671875,4.965272489026486,0.9428042811048304,10.0,,9990.0
ICICIBANK-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1334.199951171875,6070.5,,,12.347959700861066,2335.6117411602036,12325.611741160203
AXISBANK-LTIM,negative,OPEN_LONG,AXISBANK,LTIM,2024-02-05,0,1059.775756835938,5303.32763671875,4.717979221309967,0.9428042811048304,10.0,,9990.0
AXISBANK-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1340.400024414062,6070.5,,,12.04727285187579,2035.2255790239146,12025.225579023914
ALKEM-TCS,negative,OPEN_LONG,ALKEM,TCS,2024-02-05,0,4841.01904296875,3726.203369140625,1.032840390756603,1.3418483922290991,10.0,,9990.0
ALKEM-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,5565.0,3186.89990234375,,,10.024093284715532,14.069191430814117,10004.069191430814
LTIM-TCS,negative,OPEN_LONG,LTIM,TCS,2024-02-05,0,5303.32763671875,3726.203369140625,0.9428042811048304,1.3418483922290991,10.0,,9990.0
LTIM-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,6070.5,3186.89990234375,,,9.999629898601906,-10.369731296695331,9979.630268703304
INFY-TORNTPHARM,negative,OPEN_LONG,INFY,TORNTPHARM,2024-02-05,0,1588.473266601562,2591.13037109375,3.1476765175262806,1.9296597561354794,10.0,,9990.0
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1654.5,3997.10009765625,,,12.920873997939692,2907.953123941752,12897.953123941752
ZYDUSLIFE-TCS,negative,OPEN_LONG,ZYDUSLIFE,TCS,2024-02-05,0,750.4107666015625,3726.203369140625,6.663017406644961,1.3418483922290991,10.0,,9990.0
ZYDUSLIFE-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,878.0999755859375,3186.89990234375,,,10.127131932258651,117.0048003263921,10107.004800326393
WIPRO-TORNTPHARM,negative,OPEN_LONG,WIPRO,TORNTPHARM,2024-02-05,0,226.0776062011719,2591.13037109375,22.11629928331257,1.9296597561354794,10.0,,9990.0
WIPRO-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,241.8000030517578,3997.10009765625,,,13.060764433891029,3047.7036694571384,13037.703669457138
TECHM-TCS,negative,OPEN_LONG,TECHM,TCS,2024-02-05,0,1260.391967773438,3726.203369140625,3.9670198857525376,1.3418483922290991,10.0,,9990.0
TECHM-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1717.300048828125,3186.89990234375,,,11.08889995366001,1077.8110537063496,11067.81105370635
BIOCON-TCS,negative,OPEN_LONG,BIOCON,TCS,2024-02-05,0,283.8765258789062,3726.203369140625,17.61329149889928,1.3418483922290991,10.0,,9990.0
BIOCON-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,368.2000122070312,3186.89990234375,,,10.761550655055748,750.7891044006919,10740.789104400692
PERSISTENT-TCS,negative,OPEN_LONG,PERSISTENT,TCS,2024-02-05,0,4226.78369140625,3726.203369140625,1.1829325475457442,1.3418483922290991,10.0,,9990.0
PERSISTENT-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,6068.0,3186.89990234375,,,11.45437120866261,1442.916837453947,11432.916837453948
COFORGE-TCS,negative,OPEN_LONG,COFORGE,TCS,2024-02-05,0,1246.383544921875,3726.203369140625,4.01160623499198,1.3418483922290991,10.0,,9990.0
COFORGE-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1655.400024414062,3186.89990234375,,,10.917149569500362,906.2324199308606,10896.23241993086
AUROPHARMA-TCS,negative,OPEN_LONG,AUROPHARMA,TCS,2024-02-05,0,1012.980163574219,3726.203369140625,4.935930810686265,1.3418483922290991,10.0,,9990.0
AUROPHARMA-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1172.099975585938,3186.89990234375,,,10.061740892854285,51.67915196142968,10041.679151961429
LUPIN-LTIM,negative,OPEN_LONG,LUPIN,LTIM,2024-02-05,0,1556.601806640625,5303.32763671875,3.2121252710034645,0.9428042811048304,10.0,,9990.0
LUPIN-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,2135.199951171875,6070.5,,,12.581823110251417,2569.241287141165,12559.241287141165
