Stock_A,Stock_B,Strength
COFORGE,ICICIPRULI,-0.4989549
BAJFINANCE,TCS,-0.5006818
PERSISTENT,LTIM,-0.5011425
ZYDUSLIFE,LTIM,-0.51628613
SBIN,LTIM,-0.51804626
WIPRO,TCS,-0.5366437
SUNPHARMA,TCS,-0.5412146
ICICIBANK,LTIM,-0.5419524
AXISBANK,LTIM,-0.54568315
ALKEM,TCS,-0.55482155
LTIM,TCS,-0.55735445
INFY,TORNTPHARM,-0.5580423
ZYDUSLIFE,TCS,-0.5672767
WIPRO,TORNTPHARM,-0.5740057
TECHM,TCS,-0.58369243
BIOCON,TCS,-0.58780074
PERSISTENT,TCS,-0.6034367
COFORGE,TCS,-0.6243738
AUROPHARMA,TCS,-0.63210577
LUPIN,LTIM,-0.6708234
