Stock_A,Stock_B,Strength
LUPIN,MPHASIS,0.64471626
DRREDDY,MPHASIS,0.6128598
CIPLA,MPHASIS,0.60264325
WIPRO,DIVISLAB,0.5867722
AUROPHARMA,MPHASIS,0.5838777
ALKEM,MPHASIS,0.554388
LTIM,DIVISLAB,0.54204005
ZYDUSLIFE,MPHASIS,0.53681386
SUNPHARMA,MPHASIS,0.5324346
DIVISLAB,MPHASIS,0.5302678
SBIN,CIPLA,0.5243265
TECHM,DIVISLAB,0.5150241
HCLTECH,DIVISLAB,0.513301
INFY,DIVISLAB,0.48237196
HCLTECH,MPHASIS,0.47611445
PERSISTENT,AXISBANK,0.4713816
MPHASIS,DIVISLAB,0.46968478
BIOCON,MPHASIS,0.45927107
MPHASIS,AXISBANK,0.45504516
INFY,AXISBANK,0.44474974
