Datetime,ALKEM,AUROPHARMA,AXISBANK,BAJFINANCE,BIOCON,CIPLA,COFORGE,DIVISLAB,DRREDDY,HCLTECH,HDFCBANK,HDFCLIFE,ICICIBANK,ICICIPRULI,INFY,KOTAKBANK,LICI,LTM,LUPIN,MPHASIS,OFSS,PERSISTENT,SBILIFE,SBIN,SUNPHARMA,TCS,TECHM,TORNTPHARM,WIPRO,ZYDUSLIFE
2026-01-16 09:15:00+05:30,5841.5,1188.7,1299.1,954.15,383.7,1397.9,1725.0,6340.0,1189.5,1691.7,931.9,727.3,1413.4,676.05,1673.7,424.2,828.0,6212.0,2209.5,2906.7,7759.0,6410.5,2069.0,1033.7,1677.8,3208.5,1639.0,4005.7,268.95,886.6
2026-01-16 10:15:00+05:30,5846.5,1186.1,1292.8,953.85,384.35,1405.0,1720.8,6331.0,1194.8,1684.7,930.5,735.95,1416.0,678.0,1684.8,423.9,826.45,6287.5,2205.0,2919.3,7910.0,6408.0,2095.6,1042.65,1677.7,3200.1,1647.8,4007.7,267.75,881.95
2026-01-16 11:15:00+05:30,5850.0,1183.0,1293.4,956.3,384.3,1403.5,1724.8,6323.0,1191.4,1693.9,934.5,731.45,1417.0,678.0,1692.8,420.9,824.6,6352.5,2210.2,2917.4,7912.0,6475.5,2084.9,1042.35,1675.1,3206.8,1655.6,4001.9,268.95,882.85
2026-01-16 12:15:00+05:30,5837.5,1176.5,1292.2,951.0,383.6,1397.7,1722.6,6277.0,1185.9,1694.7,932.15,732.2,1401.6,679.0,1686.0,421.4,821.75,6341.0,2194.3,2924.6,7928.5,6420.0,2079.6,1040.7,1669.8,3209.9,1663.4,4001.7,268.05,878.6
2026-01-16 13:15:00+05:30,5829.0,1168.6,1292.5,950.4,379.95,1396.7,1732.3,6246.0,1176.4,1693.1,931.35,730.65,1415.6,678.35,1682.6,420.6,820.35,6305.0,2180.0,2886.5,7904.0,6394.5,2074.7,1038.9,1663.9,3205.3,1664.7,4001.2,267.55,871.15
2026-01-16 14:15:00+05:30,5840.5,1173.2,1294.4,949.85,378.25,1397.5,1733.2,6233.0,1175.4,1699.2,931.0,731.2,1408.3,677.85,1692.0,417.6,820.3,6304.5,2177.6,2886.5,7960.5,6407.0,2079.8,1042.05,1669.0,3205.3,1668.2,4015.8,267.7,868.25
2026-01-16 15:15:00+05:30,5840.0,1166.3,1296.0,951.0,376.5,1398.0,1732.0,6237.0,1177.7,1696.5,930.55,733.5,1413.0,677.95,1689.1,418.7,820.0,6300.0,2174.1,2875.0,7944.0,6409.5,2080.5,1040.6,1671.1,3209.0,1672.0,4021.7,266.8,868.0
2026-01-19 09:15:00+05:30,5770.5,1166.9,1304.1,956.6,378.0,1374.3,1739.2,6201.0,1174.1,1695.0,922.8,736.9,1362.1,670.05,1674.5,422.3,818.15,6306.0,2168.4,2867.7,7983.5,6392.5,2087.0,1038.9,1669.6,3185.0,1726.0,4030.3,250.0,863.35
2026-01-19 10:15:00+05:30,5727.0,1164.6,1303.3,966.8,376.15,1380.4,1733.7,6150.0,1167.3,1705.0,924.15,734.6,1370.2,667.35,1679.2,422.6,814.0,6300.0,2174.7,2902.8,7928.5,6427.0,2082.0,1041.6,1668.2,3169.3,1726.0,4064.8,248.5,865.0
2026-01-19 11:15:00+05:30,5733.0,1169.5,1297.7,968.4,374.0,1391.1,1731.6,6130.0,1172.7,1708.5,925.2,733.65,1371.2,663.25,1681.0,427.2,811.8,6336.5,2185.0,2895.9,7902.5,6441.5,2077.1,1039.9,1680.1,3158.3,1731.9,4090.8,248.15,865.75
